Program Time [s],data 0,data 1,data 2
15.3794,27,2021,2
15.4091,22,2024,1
15.4551,0,1,0
15.4621,1,1,0
15.4702,2,0,7.00649e-45
15.5622,1.6e+08,2024,0
15.5832,22,306,0
15.6323,54798,302,0
15.6323,5724,296,0
15.6342,8000,0,0
15.6941,318,4.67001e+24,0
21.6801,308,7.31617e+34,0
27.6802,311,2.30742e+29,0
33.6801,306,1.09397e+27,0
39.6801,304,7.36518e+31,0
45.6801,302,4.57994e+30,0
51.68,302,1.14314e+27,0
57.681,296,1.12572e+24,0
63.681,296,1.75905e+22,0
69.6811,300,1.91444e+28,0
75.6811,297,4.72192e+30,0
81.681,300,1.07875e+24,0
87.6811,300,0.000875315,0
93.681,298,1.10231e+24,0
99.681,300,1.77487e+28,0
105.682,296,0.000672124,0
111.682,298,8.79249e+23,4.55814e-41
117.682,298,4.57993e+30,0
123.682,298,0,0
129.682,298,0,0
135.682,300,0,4.55814e-41
141.682,308,0,0
147.682,295,0,1.41531e-43
153.683,302,4.55814e-41,0
159.683,295,4.55814e-41,4.1613e-41
165.683,297,4.55814e-41,0
171.683,308,4.55814e-41,0
177.683,298,4.55814e-41,0
183.683,304,4.55814e-41,-nan
189.683,296,0,0
195.683,304,4.55814e-41,0
201.684,300,4.55814e-41,0
207.684,304,4.55814e-41,0
213.684,302,4.55814e-41,0
219.684,304,0,0
225.684,302,0,0
231.684,298,0,0
237.684,300,0,0
243.684,295,0,0
249.685,302,0,0
255.685,300,0,0
261.685,300,0,0
267.685,295,0,4.55814e-41
273.685,301,4.55814e-41,0
279.685,300,4.55814e-41,0
285.685,295,4.55814e-41,0
291.685,298,4.55814e-41,4.55814e-41
297.686,302,4.55814e-41,0
303.686,308,4.55814e-41,1.4013e-43
309.686,304,0,0
315.686,298,4.55814e-41,0
321.686,300,4.55814e-41,0
327.686,300,4.55814e-41,0
333.686,293,4.55814e-41,0
339.686,306,0,-nan
345.687,304,0,0
351.687,304,0,0
357.687,306,0,0
363.687,304,0,0
369.686,309,0,0
375.687,305,0,0
381.687,318,0,0
387.687,304,0,0
393.687,305,4.55814e-41,0
399.688,307,4.55814e-41,0
405.688,323,4.55814e-41,0
411.687,319,4.55814e-41,0
417.687,311,4.55814e-41,0
423.688,316,0,4.55814e-41
429.687,318,0,0
435.688,322,0,0
441.688,324,0,0
447.688,318,0,0
453.688,324,0,0
459.688,316,0,0
465.688,307,0,0
471.688,316,0,0
477.688,319,0,5.04467e-44
483.688,314,0,0
489.688,314,0,0
495.689,309,0,0
501.689,314,0,0
507.689,308,0,4.55814e-41
513.689,313,0,0
519.689,311,-nan,0
525.689,316,-nan,0
531.689,310,1.12104e-44,0
537.689,317,-nan,0
543.69,308,1.4013e-44,0
549.69,304,1.82169e-44,0
555.69,310,-nan,0
561.69,308,2.24208e-44,0
567.69,306,-nan,0
573.69,311,-nan,0
579.69,316,-nan,4.55814e-41
585.69,306,-nan,0
591.69,304,-nan,0
597.691,304,1.86373e-43,0
603.691,308,0,4.55814e-41
609.691,306,0,0
615.691,310,0,3.63833e-41
621.691,312,0,0
627.691,314,4.55814e-41,0
633.691,297,4.54482e+30,0
639.691,305,0,0
645.692,311,0,0
651.692,306,0,-nan
657.692,322,0,0
663.692,304,4.55814e-41,0
669.692,306,4.55814e-41,0
675.692,309,0,0
681.692,304,0,0
687.692,309,0,0
693.693,302,0,0
699.693,297,0,0
705.693,302,2.95718e-38,0
711.693,297,0,0
717.693,300,0,0
723.693,301,0,0
729.693,302,0,0
735.693,298,0,1.80621e+28
741.693,302,0,1.06455e+24
747.694,308,-nan,7.18528e+22
753.694,302,8,1.4013e-43
759.694,311,36,0
765.694,302,36,0
771.694,304,19,0
777.694,305,0,0
783.694,301,8,0
789.694,300,0,0
795.695,304,9.7075e+30,0
801.695,302,0,0
807.695,316,0,4.55814e-41
813.695,306,3.40282e+38,0
819.695,306,0.5,0
825.695,304,0,0
831.695,306,0,4.55814e-41
837.695,304,2.35099e-38,0
843.696,311,0,0
849.696,310,2.75508e-40,0
855.696,311,2.35099e-38,0
861.696,304,0,5.1848e-44
867.696,298,9.80909e-45,0
873.696,304,9.80909e-45,0
879.696,306,3.40282e+38,0
885.696,304,3.40282e+38,0
891.697,304,0,4.55814e-41
897.697,309,1.12104e-44,0
903.697,305,0,0
909.697,296,39,0
915.697,305,16,0
921.697,311,16,0
927.697,302,35,0
933.697,311,0,0
939.697,310,19,0
945.698,300,2,0
951.698,304,0,0
957.698,305,3.2121e-25,0
963.698,304,424,1.80621e+28
969.698,304,624,7.34706e+28
975.698,308,0,1.83188e+25
981.698,307,0,0
987.698,308,0,0
993.699,304,1.4013e-45,0
999.699,311,0,0
1005.7,309,0,0
1011.7,300,0,0
1017.7,304,0,0
1023.7,307,0,0
1029.7,305,0,0
1035.7,300,0,1.80621e+28
1041.7,308,0,7.34706e+28
1047.7,311,0,1.83188e+25
1053.7,304,0,0
1059.7,314,0,0
1065.7,295,0,0
1071.7,302,1.4013e-45,0
1077.7,304,-nan,0
1083.7,302,0,0
1089.7,302,-1,0
1095.7,306,1.12104e-44,0
1101.7,309,0,0
1107.7,304,0,4.55814e-41
1113.7,304,0,0
1119.7,309,0,0
1125.7,302,0,0
1131.7,308,8,4.55814e-41
1137.7,309,44,0
1143.7,300,8,0
1149.7,304,44,0
1155.7,309,8,0
1161.7,309,44,5.46506e-44
1167.7,306,16,0
1173.7,311,36,0
1179.7,305,16,0
1185.7,305,36,0
1191.7,309,1,4.55814e-41
1197.7,297,719,0
1203.7,300,16,0
1209.7,304,36,0
1215.7,302,0,0
1221.7,314,9.31863e-43,0
1227.7,309,675,0
1233.7,304,0,0
1239.7,304,0,0
1245.7,305,0,0
1251.7,304,0,0
1257.7,302,1,0
1263.7,314,0,1.80621e+28
1269.7,302,0,3.03535e+32
1275.7,306,1.12104e-44,7.86747e+34
1281.7,302,0,4.54397e+30
1287.7,301,1.1911e-42,0
1293.7,307,0,0
1299.7,300,4.62428e-43,0
1305.7,306,0,0
1311.7,308,3.13891e-43,0
1317.7,309,0,0
1323.7,309,0,0
1329.7,307,0,0
1335.7,308,0,0
1341.71,304,1.12104e-44,0
1347.71,307,0,1.80621e+28
1353.7,308,1.12104e-44,3.03535e+32
1359.7,308,0,7.86747e+34
1365.71,306,1.4013e-44,4.54397e+30
1371.71,308,0,0
1377.7,302,1,0
1383.7,308,719,0
1389.7,295,0,0
1395.71,307,0,0
1401.71,302,1.4013e-45,0
1407.71,300,0,0
1413.71,311,0,0
1419.71,307,0,4.55814e-41
1425.71,295,0,0
1431.71,304,0,0
1437.71,304,0,0
1443.71,309,0,4.55814e-41
1449.71,306,0,0
1455.71,302,0,0
1461.71,307,8,0
1467.71,300,27,0
1473.71,306,0,5.60519e-44
1479.71,306,0,0
1485.71,307,0,0
1491.71,308,0,0
1497.71,306,0,0
1503.71,301,0,4.55814e-41
1509.71,311,0,0
1515.71,308,0,0
1521.71,307,0,0
1527.71,309,0,0
1533.71,311,0,0
1539.71,307,0,0
1545.71,300,0,0
1551.71,309,0,0
1557.71,302,0,0
1563.71,308,0,0
1569.71,304,0,0
1575.71,311,0,4.55814e-41
1581.71,304,0,0
1587.71,314,0,0
1593.71,305,0,0
1599.71,306,0,0
1605.71,304,0,0
1611.71,302,0,0
1617.71,306,0,0
1623.71,305,0,0
1629.71,309,0,0
1635.71,300,0,0
1641.71,297,-8.16916e-22,0
1647.71,304,0,0
1653.71,302,0,0
1659.71,307,0,0
1665.71,302,0,0
1671.71,309,4.2039e-44,0
1677.71,300,3.92364e-44,0
1683.71,297,3.64338e-44,0
1689.71,301,3.36312e-44,0
1695.71,309,3.08286e-44,1.80621e+28
1701.71,306,2.8026e-44,7.34706e+28
1707.71,300,2.52234e-44,1.83188e+25
1713.71,309,2.24208e-44,1.79401e+25
1719.71,302,1.96182e-44,7.21434e+22
1725.71,304,1.68156e-44,0
1731.71,309,0,0
1737.71,305,0,0
1743.71,309,0,0
1749.71,311,0,0
1755.71,308,0,0
1761.71,316,4.55814e-41,0
1767.71,306,0,0
1773.71,314,0,0
1779.71,301,0,2.86986e-42
1785.71,300,0,0
